movie_id,user_id,rating
1596363,108417642,8
1210166,108417642,8
2005151,108417642,7
0887912,108417642,8
1790885,108417642,9
4758646,108417642,7
3659388,108417642,8
0181689,108417642,9
1631867,108417642,8
0480249,108417642,8
0816711,108417642,7
6857112,108417642,6
1670345,108417642,7
0167404,108417642,8
0425112,108417642,7
1156398,108417642,7
6823368,108417642,6
0217869,108417642,7
4972582,108417642,7
0365748,108417642,7
0362270,108417642,6
1007029,108417642,6
10696784,108417642,7
1242460,108417642,8
1160419,108417642,10
0110413,108417642,9
0434409,108417642,8
0120382,108417642,8
0083658,108417642,8
0206634,108417642,9
1392190,108417642,9
6257970,108417642,8
2382320,108417642,9
1074638,108417642,10
0077651,108417642,7
10919420,108417642,8
9639470,108417642,8
0091042,108417642,8
8695030,108417642,5
9421570,108417642,7
0242653,108417642,6
0234215,108417642,7
0133093,108417642,9
9243804,108417642,8
8772262,108417642,8
1022603,108417642,8
3783958,108417642,9
6468322,108417642,8
7767422,108417642,9
0094525,108417642,8
0487831,108417642,8
10048342,108417642,8
0475784,108417642,8
1606375,108417642,9
1190634,108417642,9
4574334,108417642,8
5687612,108417642,9
8111088,108417642,9
2861424,108417642,9
0903747,108417642,10
1454029,108417642,8
0139654,108417642,8
12801262,108417642,8
0395251,108417642,7
2381249,108417642,7
1229238,108417642,7
4912910,108417642,9
2379713,108417642,7
0086879,108417642,10
1392214,108417642,9
2562232,108417642,10
0081505,108417642,8
4925292,108417642,7
0947798,108417642,8
1560747,108417642,8
5776858,108417642,7
0114814,108417642,8
2872718,108417642,8
0407887,108417642,8
3228774,108417642,7
0118715,108417642,8
0068646,108417642,10
0477348,108417642,8
0113277,108417642,8
0114369,108417642,9
0332452,108417642,8
0469494,108417642,9
0959337,108417642,8
9784798,108417642,8
5726616,108417642,7
1489887,108417642,8
9243946,108417642,8
2278871,108417642,8
8332922,108417642,8
6644200,108417642,8
2713180,108417642,8
0332379,108417642,7
0378194,108417642,8
0110912,108417642,8
0418763,108417642,8
0095243,1087304,7
0119558,1087304,5
0049815,1087304,5
1160419,1087304,8
0113189,1087304,8
2382320,1087304,9
0076111,1087304,5
9376612,1087304,8
0122748,1087304,5
0084911,1087304,8
0066999,1087304,9
0086383,1087304,6
0086250,1087304,7
0028597,1087304,7
10706602,1087304,7
0058672,1087304,7
8332922,1087304,8
5646136,1087304,4
0310793,1087304,6
6163356,1087304,4
0083869,1087304,7
0032123,1087304,6
0071230,1087304,8
0129694,1087304,8
1950799,1087304,8
0098769,1087304,10
0108700,1087304,10
0221300,1087304,9
0996994,1087304,10
2380247,1087304,8
0053221,1087304,7
5822564,1087304,4
6723592,1087304,8
0039677,1087304,10
0060934,1087304,6
0027260,1087304,8
0050986,1087304,5
0050976,1087304,10
0099653,1087304,10
0376293,1087304,4
0100054,1087304,5
0048980,1087304,7
0017075,1087304,8
0808446,1087304,8
0027075,1087304,7
0042208,1087304,7
0046414,1087304,5
0055184,1087304,8
0089841,1087304,6
8649822,1087304,6
5884004,1087304,7
7975244,1087304,7
2283362,1087304,7
0113497,1087304,8
2066051,1087304,9
4715278,1087304,1
5246604,1087304,1
1062182,1087304,1
4703624,1087304,1
4706816,1087304,1
0044851,1087304,4
0045468,1087304,3
0047794,1087304,4
0047795,1087304,4
0022759,1087304,9
0019465,1087304,7
0048261,1087304,6
0046911,1087304,10
0129119,1087304,5
0039689,1087304,10
0054310,1087304,5
0093010,1087304,9
0106856,1087304,5
0038733,1087304,8
0032007,1087304,6
0035419,1087304,7
0039011,1087304,6
0023551,1087304,8
0179624,1087304,10
0015624,1087304,9
0038499,1087304,6
0040725,1087304,10
0218839,1087304,10
0026291,1087304,5
0028010,1087304,9
0024184,1087304,8
8305806,1087304,5
0056983,1087304,6
0061264,1087304,5
0054462,1087304,3
0052655,1087304,6
0056552,1087304,5
0057449,1087304,5
0057693,1087304,5
0057128,1087304,5
0058333,1087304,6
0149523,1087304,9
0063932,1087304,9
0067328,1087304,5
0069495,1087304,8
0063522,113809429,10
2382320,113809429,7
2131532,113809429,8
10919420,113809429,10
11686490,113809429,8
10919420,113809429,10
9357050,113809429,9
10954652,113809429,1
5227746,113809429,9
0068491,113809429,10
6402468,113809429,9
5752192,113809429,8
1675192,113809429,2
9777666,113809429,10
10342730,113809429,2
5700672,113809429,10
1321510,113809429,3
2404233,113809429,2
9625664,113809429,2
2382320,125964543,9
9731534,125964543,8
9376612,125964543,3
6334354,125964543,2
3272066,125964543,8
9742794,125964543,7
9140554,125964543,7
8385148,125964543,7
11083552,125964543,8
5433138,125964543,6
0870154,125964543,7
9243804,125964543,8
6566576,125964543,4
0060196,125964543,7
0050083,125964543,9
0108052,125964543,2
0111161,125964543,5
0109830,125964543,2
6751668,125964543,8
7286456,125964543,2
1051906,125964543,3
6857112,125964543,1
5052448,125964543,2
8772262,125964543,8
7131622,125964543,8
6644200,125964543,8
7069210,125964543,7
8332922,125964543,8
3554046,125964543,1
9777666,125964543,5
3480822,125964543,1
9203694,125964543,6
12361974,125964543,10
7888964,125964543,4
0293429,125964543,5
12282598,125964543,9
2582782,125964543,10
2076822,125964543,7
5085522,125964543,8
1825683,125964543,6
7737786,125964543,6
10919380,125964543,6
5918982,125964543,5
10229558,125964543,4
5867314,125964543,9
0993846,125964543,8
1853728,125964543,8
0110912,125964543,9
0468569,125964543,10
0816692,125964543,10
1375666,125964543,8
2345737,125964543,7
5463162,125964543,7
1270797,125964543,7
0448115,125964543,4
0770828,125964543,8
1477834,125964543,5
0974015,125964543,7
2975590,125964543,8
0451279,125964543,2
3896198,125964543,8
2015381,125964543,8
1300854,125964543,6
0371746,125964543,8
0848228,125964543,7
1843866,125964543,9
3498820,125964543,9
2395427,125964543,6
0478970,125964543,6
1211837,125964543,7
4154664,125964543,1
10539608,125964543,8
7126948,125964543,4
0983946,125964543,8
6723592,125964543,10
14901058,139466293,7
7097896,139466293,6
15763882,139466293,6
12536294,139466293,9
9054904,139466293,10
10937180,139466293,3
11388990,139466293,8
7991608,139466293,7
8893974,139466293,9
2382320,139466293,7
9900092,139466293,6
9446688,139466293,9
8722624,139466293,6
10763820,139466293,5
15149712,139466293,6
10665338,139466293,6
7335184,139466293,8
6264654,139466293,8
15141288,139466293,8
0095690,19170009,5
2382320,19170009,2
3553976,19170009,7
4799066,19170009,3
6315640,19170009,8
1758795,19170009,6
